clip_1 | Just 50 years ago,
clip_2 | we finally ventured to the moon.
clip_3 | For the very first time, we looked back at our own planet.
clip_4 | Since then, the human population has more than doubled.
clip_5 | This series will celebrate the natural wonders that remain
clip_6 | and reveal what we must preserve
clip_7 | to ensure people and nature thrive.
clip_8 | This is a tropical forest.
clip_9 | A rain forest.
clip_10 | The richest habitat on Earth.
clip_11 | Exactly how many species rain forests contain is unknown,
clip_12 | but it runs into millions.
clip_13 | And new ones are discovered every week.
clip_14 | There are some, like this clouded leopard, we still know virtually nothing about.
clip_15 | Although they cover just seven percent of the world's land area,
clip_16 | jungles play a vital role in the health of the planet.
clip_17 | In the heart of Africa lies the Congo.
clip_18 | It is our planet's youngest rain forest, a mere 18,000 years old,
clip_19 | and it's the jungle with more big animals than any other.
clip_20 | A family of lowland gorillas.
clip_21 | They're led by this silverback, the dominant male.
clip_22 | He's as tall as a man, but twice the weight.
clip_23 | His family depend on him for survival.
clip_24 | As their guardian, he must keep a lookout for danger.
clip_25 | A rival male might usurp him and tear his family apart.
clip_26 | But there is one threat beyond his control.
clip_27 | In the last 20 years,
clip_28 | poaching for bushmeat has halved the Congo's gorilla population.
clip_29 | His kind are now critically endangered.
clip_30 | It's only a forest elephant, which needn't concern the silverback.
clip_31 | But the elephant has reason to be wary of poachers too.
clip_32 | Their long straight tusks are even more sought after
clip_33 | than those of their grassland cousins.
clip_34 | He follows paths
clip_35 | made by generations of elephants before him,
clip_36 | searching for food.
clip_37 | Like the elephant, the silverback's family will travel several kilometers a day,
clip_38 | looking for fruits and seeds.
clip_39 | They and the elephants are the gardeners of this jungle.
clip_40 | The seed dispersers.
clip_41 | And many of the trees here
clip_42 | owe their existence to these large animals.
clip_43 | Here, all paths eventually lead to Mbeli Bai.
clip_44 | Open areas like this are a unique feature of the Congo's jungles,
clip_45 | and there are more than a hundred dotted throughout the forest.
clip_46 | Known as bais, these clearings attract many of the jungle's inhabitants.
clip_47 | The silverback cautiously leads the way,
clip_48 | but his family are close behind.
clip_49 | The gorillas come to feed on aquatic plants rich in salt,
clip_50 | a mineral in short supply inside the forest,
clip_51 | but crucial to their survival.
clip_52 | Elephants mine salts from the mud using their trunks.
clip_53 | Or just drink the mineral-enriched water.
clip_54 | The silverback's family are not the only gorillas here.
clip_55 | Nearly 200 others also use this bai,
clip_56 | as well as more than 530 elephants,
clip_57 | a measure of Mbeli's importance.
clip_58 | For the elephants, the bais have another vital role.
clip_59 | Most of their lives are spent
clip_60 | roaming the vast forested interior on their own,
clip_61 | so it's only here they get a chance to meet others.
clip_62 | Unlike most of the Congo's other bais, Mbeli is well protected,
clip_63 | making it a refuge from poaching.
clip_64 | It's only when they leave that the danger returns.
clip_65 | And as the Congo's main seed dispersers,
clip_66 | the loss of its megafauna could have a far-reaching impact
clip_67 | on the future of our planet's second-largest rain forest.
clip_68 | Jungles may look the same,
clip_69 | but each is home to a unique cast of characters.
clip_70 | New Guinea is the world's largest jungle-covered island,
clip_71 | and more than half of its plants and animals
clip_72 | are found nowhere else on Earth.
clip_73 | Its turbulent geological past has shaped this vast island
clip_74 | into a dramatic landscape of mountains and valleys.
clip_75 | A process that isolated one species from another.
clip_76 | Separated in this way,
clip_77 | New Guinea's animals have become truly bizarre.
clip_78 | The male twelve-wired bird-of-paradise
clip_79 | is the only bird in the world that has tail ornaments like this,
clip_80 | used to tickle the face of a prospective mate.
clip_81 | From one crow-like ancestor,
clip_82 | birds-of-paradise have evolved into 40 different kinds.
clip_83 | Every corner of this island has its own version.
clip_84 | Meet the black sicklebill of New Guinea's highlands...
clip_85 | ...able to morph into some very un-birdlike shapes.
clip_86 | Each male bird-of-paradise has a unique display for attracting mates,
clip_87 | and none is more extraordinary
clip_88 | than the one that takes place on this stage.
clip_89 | For the owner, a western parotia, there's work to be done first.
clip_90 | Every morning, he clears his court of the night's fallen debris.
clip_91 | It's a vital chore if he wants to attract a mate.
clip_92 | Females only visit the tidiest courts,
clip_93 | so one rogue leaf might ruin his chances.
clip_94 | Perfect.
clip_95 | His obsessive housework pays off,
clip_96 | and a female drops in for a closer look.
clip_97 | Now is his chance to really impress,
clip_98 | but it won't be easy.
clip_99 | Females are very fussy,
clip_100 | and she'll expect his carefully choreographed routine
clip_101 | to be faultless.
clip_102 | He opens with a bow.
clip_103 | Next, his blue eye must flash yellow.
clip_104 | So far, so good.
clip_105 | He has all the moves.
clip_106 | Fancy footwork.
clip_107 | The whirling dervish.
clip_108 | The head plume shuffle, with spin.
clip_109 | Her erect head feathers and quivering wings
clip_110 | are a very encouraging sign.
clip_111 | His sidestep and head bob look good from any angle,
clip_112 | but his crowning glory
clip_113 | can only be appreciated from her perspective.
clip_114 | Wait for it.
clip_115 | There it is. A flash of his iridescent throat patch.
clip_116 | Her excitement grows.
clip_117 | His performance has been a triumph,
clip_118 | and he wins her approval.
clip_119 | New Guinea's isolation has created a unique variety of animals,
clip_120 | but the age of a forest has an even greater impact
clip_121 | on the diversity of life it contains.
clip_122 | The jungles of Borneo, in Southeast Asia,
clip_123 | have grown here for nearly 130 million years,
clip_124 | making them the oldest on Earth.
clip_125 | This limestone mountaintop in Borneo's highlands
clip_126 | was originally formed under the sea.
clip_127 | Time and rain has slowly shaped this jungle fortress
clip_128 | into these 40-meter towers.
clip_129 | The great age of this island's jungle is best illustrated
clip_130 | by one of the oldest predators on Earth.
clip_131 | A velvet worm.
clip_132 | Completely at home on the humid forest floor.
clip_133 | They've been here since the age of the dinosaurs,
clip_134 | and have remained virtually unchanged.
clip_135 | It detects its insect prey through vibration and touch.
clip_136 | But with no turn of speed,
clip_137 | how does it capture these fleet-footed critters?
clip_138 | The answer is stranger than fiction.
clip_139 | Glue guns.
clip_140 | The sticky slime hardens on impact,
clip_141 | trapping the luckless insect.
clip_142 | The velvet worm will inject the cockroach with digestive saliva,
clip_143 | and then suck out its insides.
clip_144 | The high humidity of the forest floor isn't just good for velvet worms.
clip_145 | It's perfect for fungi, too,
clip_146 | and Borneo's ancient jungles are rich in species.
clip_147 | By decomposing the dead,
clip_148 | the slime molds and fungi recycle scarce nutrients.
clip_149 | Time has made Borneo's jungles extraordinarily rich and diverse.
clip_150 | Here, in just a few hectares of forest,
clip_151 | there may be more kinds of plants than in the whole of Europe,
clip_152 | including some of the most specialized on Earth.
clip_153 | Over several weeks,
clip_154 | these growing tips inflate to form jugs or pitchers.
clip_155 | There are 39 kinds of pitcher plant in Borneo,
clip_156 | and most are found nowhere else.
clip_157 | To get the nutrients they need to survive, pitcher plants rely on animals,
clip_158 | often in surprising ways.
clip_159 | This is the mountain treeshrew, an animal found only in Borneo.
clip_160 | Every morning, the treeshrew visits his neighborhood pitchers.
clip_161 | It depends on the sugary solution
clip_162 | that exudes from hairs on the pitcher's lid.
clip_163 | When he's licked this lid dry, he'll move to another.
clip_164 | And then another.
clip_165 | Eventually, all that sugar can have only one result.
clip_166 | In return for the free food, the treeshrew leaves a gift.
clip_167 | Fertilizer for the plant.
clip_168 | All that's needed is an afternoon shower
clip_169 | to flush the shrew poo into the pitcher's bowl.
clip_170 | Without these added nitrates, the plant couldn't survive.
