clip_1 | Just 50 years ago,
clip_2 | we finally ventured to the moon.
clip_3 | For the very first time, we look back at our own planet.
clip_4 | Since then, the human population has more than doubled.
clip_5 | This series will celebrate the natural wonders that remain,
clip_6 | and reveal what we must preserve
clip_7 | to ensure people and nature thrive.
clip_8 | When human beings built their first settlements
clip_9 | some 10,000 years ago,
clip_10 | the world around them,
clip_11 | on the land and in the sea,
clip_12 | was full of life.
clip_13 | For generations, this stable Eden nurtured our growing civilizations.
clip_14 | But now, in the space of just one human lifetime,
clip_15 | all that has changed.
clip_16 | In the last 50 years,
clip_17 | wildlife populations have, on average, declined by 60 percent.
clip_18 | For the first time in human history,
clip_19 | the stability of nature can no longer be taken for granted.
clip_20 | But the natural world is resilient.
clip_21 | Great riches still remain.
clip_22 | And with our help, the planet can recover.
clip_23 | Never has it been more important to understand how the natural world works,
clip_24 | and how to help it.
clip_25 | Wildlife still flourishes in astonishing numbers
clip_26 | in a few precious places.
clip_27 | Along the Peruvian coast of South America,
clip_28 | seabirds congregate in colonies millions strong.
clip_29 | They come here to breed.
clip_30 | Every morning, the birds leave their colonies
clip_31 | to fish in one of the richest seas on Earth.
clip_32 | It is an astonishing daily migration
clip_33 | of five million birds.
clip_34 | The huge flocks of cormorants and boobies are all seeking one thing:
clip_35 | anchovies.
clip_36 | The boobies carpet-bomb the shoals.
clip_37 | More and more birds join the feeding frenzy.
clip_38 | All in this immense assembly are here
clip_39 | because a powerful oceanic current, the Humboldt,
clip_40 | sweeps up from the Antarctic,
clip_41 | bringing with it rich nutrients from the ocean's depths.
clip_42 | 90 percent of the life in the oceans
clip_43 | is found in the shallow seas close to the coast.
clip_44 | Away from the land,
clip_45 | the seas, for the most part, are a blue desert.
clip_46 | But even these distant waters may be enriched
clip_47 | by a most unexpected connection to the land.
clip_48 | Some deserts,
clip_49 | often hundreds of kilometers from the ocean,
clip_50 | provide the raw materials for life.
clip_51 | Every year, winds sweep up two billion tons of dust into the sky.
clip_52 | At least a quarter of it eventually falls on the sea,
clip_53 | providing nutrients needed by the microscopic organisms
clip_54 | that are the foundations of ocean life.
clip_55 | Dolphins explore the vast, open ocean
clip_56 | in search of the riches that distant deserts may have nourished.
clip_57 | A shoal of mackerel has discovered a swarm of krill...
clip_58 | the small crustaceans
clip_59 | that feed on the ocean's floating microscopic plants.
clip_60 | But the mackerel themselves are food for the dolphins.
clip_61 | They drive the mackerel towards the surface,
clip_62 | and into the range of birds.
clip_63 | Shearwaters.
clip_64 | The wings that normally propel the birds through the air
clip_65 | now drive them six meters down through the water.
clip_66 | Whilst the birds pick off the top of the shoal...
clip_67 | the dolphins attack the underside.
clip_68 | After 20 minutes of feasting,
clip_69 | the predators from both the sea and the air
clip_70 | have had their fill.
clip_71 | The stability of life on our planet
