clip_1 | Just 50 years ago,
clip_2 | we finally ventured to the moon.
clip_3 | For the very first time, we looked back at our own planet.
clip_4 | Since then, the human population has more than doubled.
clip_5 | This series will celebrate the natural wonders that remain,
clip_6 | and reveal what we must preserve
clip_7 | to ensure people and nature thrive.
clip_8 | The polar regions of our planet may seem beyond the reach of most of us,
clip_9 | but they are not beyond our influence.
clip_10 | We, unintentionally, are changing these frozen worlds,
clip_11 | and these changes will not just affect the poles
clip_12 | but the whole planet.
clip_13 | Antarctica.
clip_14 | The southern end of our planet, and the coldest place on Earth.
clip_15 | It has been frozen for 30 million years.
clip_16 | In its center, the covering of ice is over four kilometers thick.
clip_17 | Entire mountain ranges are buried beneath it.
clip_18 | Here, it is so cold that each winter
clip_19 | 19 million square kilometers of ocean freezes,
clip_20 | more than doubling the size of the ice cap.
clip_21 | But when, in spring, the sea ice melts,
clip_22 | life returns once again to the continent's shores.
clip_23 | The peninsula that stretches north towards South America
clip_24 | is the first part of it to be released from winter's grip.
clip_25 | As the sea ice breaks up,
clip_26 | life returns.
clip_27 | There is a greater variety of living creatures here
clip_28 | than anywhere else in Antarctica.
clip_29 | Gentoo penguins spend most of their lives at sea,
clip_30 | but now, in spring, they have to come ashore to breed.
clip_31 | They're the fastest of all penguins in water,
clip_32 | but on land, life takes on a slower pace.
clip_33 | It's an uphill struggle to reach their nesting grounds...
clip_34 | ...but penguins never give up.
clip_35 | The paths they follow, carved by thousands of tiny footsteps,
clip_36 | lead to Antarctica's rarest commodity.
clip_37 | Bare rock.
clip_38 | Less than one percent of Antarctica is ice-free,
clip_39 | and these rocky patches
clip_40 | are the only places where gentoos can lay their eggs.
clip_41 | It's been a 30-minute struggle,
clip_42 | but he's almost at the top, where his mate is waiting for him.
clip_43 | He presents her with a stone,
clip_44 | a gift to improve the nest and so win her favor.
clip_45 | He's back just in time.
clip_46 | There's another mouth to feed.
clip_47 | Gentoo penguins used to be rare in this part of Antarctica,
clip_48 | but now, as temperatures rise, their numbers here are increasing.
clip_49 | Sea ice may appear to be flat and lifeless,
clip_50 | but beneath it there is another world.
clip_51 | As the ice melts, the light filters through,
clip_52 | and algae, that have been trapped within the ice all winter, flourish.
clip_53 | This upside-down world
clip_54 | is the polar equivalent of the great grasslands.
clip_55 | The ice is the soil upon which plant life grows,
clip_56 | and the herds of grazers soon arrive.
clip_57 | Antarctic krill.
clip_58 | Trillions of them swarm in the waters around Antarctica.
clip_59 | Protected by the ice above, they graze on algae whilst the sun shines.
clip_60 | But the good times don't last long.
clip_61 | Once all the ice has melted, the krill lose their protection,
clip_62 | and predators appear.
clip_63 | Penguins may have lost their ability to fly,
clip_64 | but they still form flocks, as so many birds do.
clip_65 | The longer they dive,
clip_66 | the longer it takes them to catch their breath.
clip_67 | Ruffling their feathers traps air, which makes their bodies more streamlined.
clip_68 | One last breath...
clip_69 | and the whole group dives down together.
clip_70 | The gentoos follow the krill down to depths of over 200 meters.
clip_71 | What a flock can catch in one dive,
clip_72 | a giant traps in a single mouthful.
clip_73 | Humpback whales from the tropics
clip_74 | have traveled over 8,000 kilometers to get here.
clip_75 | This one chooses to feed alone.
clip_76 | This technique, part lunge, part pounce,
clip_77 | only works when the krill are close to the surface.
clip_78 | As more humpbacks arrive, they begin to work in teams.
clip_79 | By lunging together,
clip_80 | the overspill from one huge mouth is not lost but collected by another.
clip_81 | Some humpbacks regularly work in an even more coordinated way.
clip_82 | They do so when krill has descended to some depth.
clip_83 | Once in position, they blast air from their blowholes.
clip_84 | Working together,
clip_85 | they create a curtain of bubbles around their prey.
clip_86 | As the spiraling net tightens, the krill are driven closer together,
clip_87 | and then the whales lunge upwards and collect them.
clip_88 | Almost all humpback whales in the southern hemisphere
clip_89 | come to the Antarctic to feed on krill.
clip_90 | Since the ban on commercial whaling, their numbers have recovered dramatically,
clip_91 | but their food supply is now under threat.
clip_92 | In the last 50 years,
clip_93 | with warming temperatures and disappearing sea ice,
clip_94 | krill stocks in this part of the Southern Ocean
clip_95 | have more than halved.
clip_96 | Other sea hunters come here seeking bigger prey than krill.
clip_97 | Antarctica's top predators.
clip_98 | Orca, killer whales.
clip_99 | Over half of the world's orca patrol these polar seas.
clip_100 | This particular pod specializes in hunting penguins.
clip_101 | They shift into stealth mode.
clip_102 | Hunting without making a sound, so that their prey won't hear them coming.
clip_103 | A penguin can outmaneuver a single killer whale,
clip_104 | but it can seldom escape a pod.
clip_105 | This hunt may seem cruel,
clip_106 | but important life skills are being passed down the generations.
clip_107 | From killer whales to krill,
clip_108 | all life here ultimately depends upon Antarctica's sea ice.
clip_109 | The seas that surround Antarctica are the roughest on our planet.
clip_110 | These churning waters draw up nutrients from the deep
clip_111 | and create vast, rich fishing grounds for nomads like the wandering albatross.
clip_112 | Beneath the waves, currents are flowing away from Antarctica,
clip_113 | transporting nutrients across the planet, fertilizing the oceans
clip_114 | and helping to regulate global temperatures.
clip_115 | The island of South Georgia.
clip_116 | It's far enough north
clip_117 | to be beyond the reach of the sea ice even in midwinter,
clip_118 | and many animals live here the year round.
clip_119 | This wandering albatross chick has been sitting on its nest all winter,
clip_120 | and is entirely dependent on its parents returning with food.
clip_121 | It may have to wait a few days between meals, or even a couple of weeks,
clip_122 | but at least it's not the only one who's waiting.
clip_123 | Albatross chicks need to spend a whole year growing
clip_124 | before they're ready to take their first flight.
clip_125 | And then they spend several years at sea before they return to land.
clip_126 | Coming in to land on three-meter wings takes some practice.
clip_127 | Albatross don't have reverse thrusters.
clip_128 | The chick is this female's first.
clip_129 | She's been raising it for six months, and has another six to go.
clip_130 | Her chick is smaller than it should be,
clip_131 | a sign that her mate has not been returning with food.
clip_132 | He may well have been one of the many that die,
clip_133 | entangled on longline fishing lines.
clip_134 | South Georgia is an ideal place for wanderers to raise their young,
clip_135 | but now fewer adults are returning here to nest,
clip_136 | and in recent years,
clip_137 | the breeding population has declined by 40 percent.
clip_138 | For now, waiting on its nest, the chick is safe.
clip_139 | There are no land predators here.
clip_140 | But the same cannot be said for South Georgia's seas.
clip_141 | Giant kelp flourishes in these ice-free waters.
clip_142 | The perfect place for an ambush.
clip_143 | Leopard seals overwinter here to escape Antarctica's frozen ocean.
clip_144 | They should have returned south by now,
clip_145 | but this year they've stayed longer.
clip_146 | And they've delayed their departure for good reason.
clip_147 | There are king penguins here.
clip_148 | Each is a substantial meal,
clip_149 | if you can catch it.
clip_150 | Returning to feed their chicks,
clip_151 | the kings have no choice but to run the gauntlet.
clip_152 | Kings rarely porpoise like this.
clip_153 | It uses more energy, but it's faster than traveling underwater.
clip_154 | It's hard to select a moving target in a panicking crowd,
clip_155 | but if there are stragglers, the odds change.
clip_156 | Razor-sharp teeth versus a stabbing beak.
clip_157 | It's stalemate.
clip_158 | Both are exhausted after the chase.
clip_159 | The hunter decides that the meal is not worth the fight.
clip_160 | For the penguin, it was too close for comfort,
clip_161 | but that was just the first hurdle in getting back to feed its chick.
clip_162 | It isn't going to be a walk in the park.
clip_163 | Luckily, penguin is not on their menu.
clip_164 | Still, it's best to let sleeping giants lie.
clip_165 | Elephant seal females don't take kindly
clip_166 | to being disturbed from their slumber,
